Raw_Type,pslist_nproc,pslist_nppid,pslist_avg_threads,pslist_nprocs64bit,pslist_avg_handlers,dlllist_ndlls,dlllist_avg_dlls_per_proc,handles_nhandles,handles_avg_handles_per_proc,handles_nport,handles_nfile,handles_nevent,handles_ndesktop,handles_nkey,handles_nthread,handles_ndirectory,handles_nsemaphore,handles_ntimer,handles_nsection,handles_nmutant,ldrmodules_not_in_load,ldrmodules_not_in_init,ldrmodules_not_in_mem,ldrmodules_not_in_load_avg,ldrmodules_not_in_init_avg,ldrmodules_not_in_mem_avg,malfind_ninjections,malfind_commitCharge,malfind_protection,malfind_uniqueInjections,psxview_not_in_pslist,psxview_not_in_eprocess_pool,psxview_not_in_ethread_pool,psxview_not_in_pspcid_list,psxview_not_in_csrss_handles,psxview_not_in_session,psxview_not_in_deskthrd,psxview_not_in_pslist_false_avg,psxview_not_in_eprocess_pool_false_avg,psxview_not_in_ethread_pool_false_avg,psxview_not_in_pspcid_list_false_avg,psxview_not_in_csrss_handles_false_avg,psxview_not_in_session_false_avg,psxview_not_in_deskthrd_false_avg,callbacks_ncallbacks,callbacks_nanonymous,callbacks_ngeneric,modules_nmodules,svcscan_nservices,svcscan_kernel_drivers,svcscan_fs_drivers,svcscan_process_services,svcscan_shared_process_services,svcscan_interactive_process_services,svcscan_nactive,Label,SubType
F:\Run_1\005d62ccb914fe69ed4795a68a2ec0c679e4713c50a73d90524b7bac1240fefd_ransomware/raw/raw_0.bin,142,20,13.147887323943662,142,0.0,7190,52.48175182481752,50211,363.8478260869565,0,2629,11455,145,3754,2252,322,2614,341,972,837,401,540,401,0.053042328042328,0.0714285714285714,0.053042328042328,24,1889,24,6,3,0,4,145,10,0,145,0.0206896551724137,0.0,0.0275862068965517,1.0,0.0689655172413793,0.0,1.0,258,217,17,175,1473,750,85,151,2,2,402,Malware,Ransomware
F:\Run_1\005d62ccb914fe69ed4795a68a2ec0c679e4713c50a73d90524b7bac1240fefd_ransomware/raw/raw_1.bin,153,20,10.31372549019608,153,0.0,7526,52.263888888888886,53017,363.13013698630135,0,2121,11934,156,3995,1977,343,2846,381,1218,811,710,868,710,0.0870311350821279,0.1063986271144888,0.0870311350821279,24,1889,24,6,7,0,7,159,15,0,159,0.0440251572327044,0.0,0.0440251572327044,1.0,0.0943396226415094,0.0,1.0,258,217,25,175,1424,719,85,154,2,2,392,Malware,Ransomware
F:\Run_1\005d62ccb914fe69ed4795a68a2ec0c679e4713c50a73d90524b7bac1240fefd_ransomware/raw/raw_2.bin,155,17,10.258064516129032,155,0.0,7328,52.34285714285714,52861,357.1689189189189,0,2089,11737,157,4152,1899,352,2823,389,1257,857,886,1032,886,0.1084720861900098,0.1263467189030362,0.1084720861900098,20,814,20,6,9,0,7,164,20,0,164,0.0548780487804878,0.0,0.0426829268292682,1.0,0.1219512195121951,0.0,1.0,264,223,25,175,1474,745,87,159,2,2,391,Malware,Ransomware
F:\Run_1\0b797c9efb374e8f6bc49057367a5b3fc3c6e45885a476953b102c971698d8dd_ransomware/raw/raw_0.bin,140,20,12.857142857142858,139,0.0,6825,50.93283582089552,48186,356.93333333333334,0,2501,11093,145,3572,2165,318,2467,305,907,813,382,521,382,0.053322166387493,0.0727247347850363,0.053322166387493,28,1472,28,7,5,0,7,144,14,0,144,0.0347222222222222,0.0,0.0486111111111111,1.0,0.0972222222222222,0.0,1.0,257,217,17,175,1439,729,86,148,2,2,389,Malware,Ransomware
F:\Run_1\0b797c9efb374e8f6bc49057367a5b3fc3c6e45885a476953b102c971698d8dd_ransomware/raw/raw_1.bin,144,17,9.875,143,0.0,6917,51.23703703703704,48019,347.963768115942,0,1958,10856,149,3636,1742,324,2478,326,954,728,543,678,543,0.0743224746783465,0.0928004379961675,0.0743224746783465,15,144,15,6,9,0,11,151,18,0,151,0.0596026490066225,0.0,0.0728476821192053,1.0,0.119205298013245,0.0,1.0,257,217,25,175,1422,720,87,151,2,2,393,Malware,Ransomware
F:\Run_1\0b797c9efb374e8f6bc49057367a5b3fc3c6e45885a476953b102c971698d8dd_ransomware/raw/raw_2.bin,149,16,10.10738255033557,148,0.0,7592,53.84397163120568,50719,354.67832167832165,0,1988,11119,154,3875,1773,338,2673,350,1030,788,575,723,575,0.0713576569868453,0.0897244973938942,0.0713576569868453,26,935,26,7,20,0,6,168,19,0,168,0.119047619047619,0.0,0.0357142857142857,1.0,0.1130952380952381,0.0,1.0,263,223,17,175,1437,729,87,152,2,2,390,Malware,Ransomware
F:\Run_1\0cb17078bb20234b689836ff48c147ebcdf4abc3fe82e42ba51454fe1cb4a1e5_ransomware/raw/raw_0.bin,149,19,21251260.100671142,144,0.0,7123,51.61594202898551,49022,350.15714285714284,0,1908,11255,143,3784,2243,333,2474,360,975,802,484,654,484,0.0643274853801169,0.0869218500797448,0.0643274853801169,28,1468,28,7,5,3,4,149,22,0,149,0.0335570469798657,0.0201342281879194,0.0268456375838926,1.0,0.1476510067114094,0.0,1.0,257,217,25,175,1433,728,84,146,2,2,377,Malware,Ransomware
F:\Run_1\0cb17078bb20234b689836ff48c147ebcdf4abc3fe82e42ba51454fe1cb4a1e5_ransomware/raw/raw_1.bin,140,17,11.135714285714286,138,0.0,6835,50.629629629629626,47382,348.3970588235294,0,1917,10790,138,3570,1952,325,2420,368,970,789,498,633,498,0.0685383980181668,0.0871180842279108,0.0685383980181668,28,1468,28,7,8,1,6,147,22,0,147,0.0544217687074829,0.0068027210884353,0.0408163265306122,1.0,0.1496598639455782,0.0,1.0,257,217,25,175,1417,718,85,152,2,2,380,Malware,Ransomware
F:\Run_1\0cb17078bb20234b689836ff48c147ebcdf4abc3fe82e42ba51454fe1cb4a1e5_ransomware/raw/raw_2.bin,134,16,8.738805970149254,132,0.0,6553,50.40769230769231,44387,338.8320610687023,0,1833,9950,132,3411,1439,307,2251,332,945,660,483,615,483,0.0686469584991472,0.0874076179647527,0.0686469584991472,28,1468,28,7,12,1,12,145,26,0,145,0.0827586206896551,0.0068965517241379,0.0827586206896551,1.0,0.1793103448275862,0.0,1.0,263,223,17,175,1420,718,86,152,2,2,377,Malware,Ransomware
F:\Run_1\0ed72a28ba5bac7f44f9e4519db5f8c8d94076d85a929c2004da1cba99559610_ransomware/raw/raw_0.bin,146,17,13.712328767123289,146,0.0,7494,53.52857142857143,51620,368.7142857142857,0,2007,11877,145,3977,2380,325,2766,352,934,950,411,550,411,0.0529980657640232,0.0709219858156028,0.0529980657640232,22,1346,22,6,9,1,7,155,15,0,155,0.0580645161290322,0.0064516129032258,0.0451612903225806,1.0,0.0967741935483871,0.0,1.0,262,217,25,175,1396,705,84,145,2,2,385,Malware,Ransomware
