Raw_Type,malfind_ninjections,malfind_commitCharge,malfind_protection,malfind_uniqueInjections,pstree_nTree,pstree_nHandles,pstree_nPID,pstree_nPPID,pstree_AvgThreads,pstree_nWow64,pstree_AvgChildren,pslist_nproc,pslist_nppid,pslist_avg_threads,pslist_nprocs64bit,pslist_avg_handlers,nConn,nDistinctForeignAdd,nDistinctForeignPort,nDistinctLocalAddr,nDistinctLocalPort,nOwners,nDistinctProc,nListening,Proto_TCPv4,Proto_TCPv6,Proto_UDPv4,Proto_UDPv6,file_total_changes,file_added_files,file_modified_files,file_deleted_files,registry_total_changes,registry_added_files,registry_modified_files,registry_deleted_files,Label,SubType
005d62ccb914fe69ed4795a68a2ec0c679e4713c50a73d90524b7bac1240fefd_ransomware,35,2680,35,6,142,0,142,20,13.147887323943662,0,0.943661971830986,167,21,13.02994011976048,167,0.0,198,43,4,7,153,13,32,24,151,11,20,16,0,0,0,0,10,3,4,3,Malware,Ransomware
0b797c9efb374e8f6bc49057367a5b3fc3c6e45885a476953b102c971698d8dd_ransomware,39,2263,39,7,140,0,140,20,12.857142857142858,1,0.9642857142857144,159,20,12.641509433962264,158,0.0,181,42,4,6,139,15,35,24,131,11,22,17,0,0,0,0,10,3,4,3,Malware,Ransomware
0cb17078bb20234b689836ff48c147ebcdf4abc3fe82e42ba51454fe1cb4a1e5_ransomware,28,1468,28,7,148,0,148,18,11730358.013513513,4,0.945945945945946,157,19,20168394.03821656,152,0.0,133,24,4,8,89,14,35,24,71,11,28,23,0,0,0,0,10,3,4,3,Malware,Ransomware
0ed72a28ba5bac7f44f9e4519db5f8c8d94076d85a929c2004da1cba99559610_ransomware,22,1346,22,6,146,0,146,17,13.712328767123289,0,0.9452054794520548,158,18,13.556962025316457,158,0.0,184,40,3,7,131,15,34,24,133,11,22,18,0,0,0,0,10,3,4,3,Malware,Ransomware
1b99720ff518a77349947048153711262cb9bda67b98b654cd025426c440cbef_ransomware,22,1346,22,6,125,0,125,16,12.784,1,0.936,135,16,12.718518518518518,134,0.0,53,5,2,7,28,6,18,22,12,12,16,13,0,0,0,0,4,1,2,1,Malware,Ransomware
1d773d866966940f042d442b9e0cec638e733a83f7137cbdd4e70d4cb9803ada_ransomware,32,2140,32,6,149,0,149,22,12.946308724832214,2,0.9328859060402684,163,22,12.60122699386503,161,0.0,172,44,4,7,129,15,33,24,116,11,25,20,0,0,0,0,4,1,2,1,Malware,Ransomware
2c127f91b268a5e6316f343781451b76bee664638987ff6d17622be8def3f864_ransomware,33,2142,33,6,146,0,146,26,12.883561643835616,1,0.9246575342465754,166,28,12.41566265060241,164,0.0,183,45,4,6,138,16,32,24,133,11,22,17,0,0,0,0,10,3,4,3,Malware,Ransomware
2c719454d0de13ac4564d00aa10c9e0b005b0bc91f5fc58d3bea10f067a07413_ransomware,22,1346,22,6,153,0,153,20,13.594771241830063,0,0.9477124183006536,161,21,13.472049689440992,161,0.0,152,31,3,6,111,14,33,24,101,11,22,18,0,0,0,0,10,3,4,3,Malware,Ransomware
2d2fa95aa9bf662fdcd71d75dc4ddb6e322b3db907d7555450c5db9def301012_ransomware,22,1347,22,6,129,0,129,18,12.48062015503876,2,0.9302325581395348,140,19,12.378571428571428,138,0.0,57,4,2,6,27,8,20,22,12,11,18,16,0,0,0,0,10,3,4,3,Malware,Ransomware
3a101185d6dfae71e84fb1c37bcd07da18d34b084ab6837d1c49f1bd99642bcc_ransomware,33,2141,33,6,149,0,149,26,12.731543624161072,2,0.9261744966442952,170,28,12.411764705882351,167,0.0,180,48,4,7,136,18,35,28,125,14,23,18,0,0,0,0,10,3,4,3,Malware,Ransomware
3a1b797876f0839e861ea4a5a44940a4fdcf84c91c12a9ff2c1f09ed01b690e1_ransomware,36,2948,36,6,144,0,144,19,13.194444444444445,0,0.9652777777777778,164,20,12.774390243902438,164,0.0,180,42,4,6,130,13,32,24,129,12,22,17,0,0,0,0,10,3,4,3,Malware,Ransomware
3d32e5470e02df80ebcbcd4f6d87f2c4a9163e908e8d867aa47c217268ebc310_ransomware,22,1346,22,6,146,0,146,18,12.883561643835616,1,0.9452054794520548,155,18,12.92258064516129,154,0.0,104,7,6,6,53,9,24,26,17,16,38,33,0,0,0,0,4,1,2,1,Malware,Ransomware
5f44120d86db22107653b15a11811e4a00a9d6052955120693270e17cd48c84d_ransomware,38,3486,38,6,148,0,148,26,12.66216216216216,1,0.9256756756756755,169,28,12.372781065088756,167,0.0,166,40,3,7,128,15,32,24,116,11,22,17,0,0,0,0,10,3,4,3,Malware,Ransomware
6a94a4a1e154a240d6803bed560b35f750b9398105e4f69537ba7a7359b27110_ransomware,22,1346,22,6,124,0,124,18,5205.370967741936,1,0.9274193548387096,154,19,4193.298701298701,153,0.0,213,35,3,6,152,14,33,24,140,11,33,29,0,0,0,0,10,3,4,3,Malware,Ransomware
6d0338228fb76a156167342197ae7f24c1141f2d20e466000a3cd476bc8b924f_ransomware,35,2679,35,6,141,0,141,21,14.25531914893617,1,0.9361702127659576,158,22,13.848101265822784,157,0.0,169,39,4,6,122,13,32,24,117,13,22,17,0,0,0,0,4,1,2,1,Malware,Ransomware
6d832e700137573409ed9c61670d0c8984af04377504170172048996d352d431_ransomware,33,2141,33,6,142,0,142,20,12.859154929577464,0,0.9647887323943662,163,21,12.662576687116564,163,0.0,159,35,3,6,121,15,33,24,111,11,21,16,0,0,0,0,10,3,4,3,Malware,Ransomware
6edf7c043348efe02d94c97a4d06ec735fb90a77ea290509e03991edadb24716_ransomware,22,1350,22,6,143,0,143,18,240074.8251748252,1,0.9370629370629372,152,18,225860.5855263158,151,0.0,191,39,3,6,129,13,30,24,132,11,26,22,0,0,0,0,10,3,4,3,Malware,Ransomware
8afc51fb904b25124bd5cb41985e917333071d1af1c6ab83cc7ae408e7cb0e7e_ransomware,35,2680,35,6,138,0,138,20,13.101449275362318,0,0.9420289855072465,163,22,12.595092024539875,163,0.0,157,35,3,6,117,12,32,24,109,11,21,16,0,0,0,0,4,1,2,1,Malware,Ransomware
8ba7d0adb180615be8923a26b3c3259201a73f0cb70b62f38c2d43445c2e8307_ransomware,22,1347,22,6,156,0,156,19,13.51923076923077,0,0.9423076923076924,171,21,13.198830409356724,171,0.0,221,41,3,7,149,16,39,24,144,11,35,31,0,0,0,0,10,3,4,3,Malware,Ransomware
8ce1c8b15d00efd8cfb7f6a37e6cb1228bba48bf7dba1b1718503f94c18a41cb_ransomware,22,1346,22,6,126,0,126,16,12.57936507936508,1,0.9285714285714286,135,16,12.614814814814816,134,0.0,53,3,1,6,27,7,18,24,13,11,16,13,0,0,0,0,10,3,4,3,Malware,Ransomware
02ad0044106143934cf53ce9a126c8cea29233f563aa53ca7584e30cb666a87a_spyware,23,1347,23,7,125,0,125,16,12.736,1,0.936,138,17,12.804347826086955,137,0.0,54,4,2,6,27,8,19,22,12,11,16,15,0,0,0,0,10,3,4,3,Malware,Spyware
0d7f9a2daa3ce1ff75b726e758d99d622ac6e4c77ec216fc90853c356734dc76_spyware,22,1347,22,6,133,0,133,20,12.68421052631579,2,0.924812030075188,166,23,12.289156626506024,162,0.0,132,9,6,6,67,12,28,24,25,14,49,44,0,0,0,0,4,1,2,1,Malware,Spyware
0f335a51a72dacc839b2b03b71c9072dec7f21d354b981e192942cc205a2f29c_spyware,22,1347,22,6,129,0,129,17,12.5968992248062,1,0.9302325581395348,144,18,12.29861111111111,143,0.0,57,4,4,6,30,9,21,22,16,10,17,14,0,0,0,0,4,1,2,1,Malware,Spyware
1a7895c50ce00d72188e1ad764fc8ddc32d7f2e437e2edd10e9229807118e10f_spyware,37,3218,37,6,139,0,139,19,4989723.179856115,1,0.9568345323741008,149,19,4654843.134228188,148,0.0,172,44,3,6,123,15,32,24,124,11,20,17,0,0,0,0,10,3,4,3,Malware,Spyware
1b5c3855bbbb82ddc6e11cac7f4c091b17067de3888363ae2cbb8e7052f46a54_spyware,35,2680,35,6,142,0,142,20,13.147887323943662,0,0.943661971830986,165,21,12.690909090909091,165,0.0,148,39,3,7,111,13,33,24,96,11,23,18,0,0,0,0,10,3,4,3,Malware,Spyware
1b87a51faddc166e36b1018f1fa7c02f6e35f9eccfef5e5a7def342afd1e36aa_spyware,22,1351,22,6,152,0,152,23,922.5855263157896,1,0.9407894736842104,166,23,845.5180722891566,165,0.0,213,55,4,6,153,13,35,24,152,11,27,23,0,0,0,0,10,3,4,3,Malware,Spyware
1d94c9dc4102a5fd0a7efa7726aceecfcb4917ffd863ca6c379a3a6ad30bb291_spyware,22,1347,22,6,154,0,154,18,1715.87012987013,2,0.9285714285714286,170,19,1555.152941176471,167,0.0,190,38,5,7,135,15,35,24,123,11,30,26,0,0,0,0,4,1,2,1,Malware,Spyware
2d5823e47a76ecf8eece6cefd85885098687ae9f0cd4c51729920df84f4fdb56_spyware,22,1351,22,6,149,0,149,17,13.476510067114091,0,0.9463087248322148,158,18,13.569620253164556,158,0.0,151,36,5,7,106,14,36,24,88,13,27,23,0,0,0,0,4,1,2,1,Malware,Spyware
2e405d7501cf30dd03f0c62f025a86ab778e8093df265f6b9874f80714ce945e_spyware,22,1346,22,6,130,0,130,17,13.346153846153848,1,0.9384615384615383,160,18,12.88125,159,0.0,167,37,3,7,122,15,35,26,108,12,27,20,0,0,0,0,10,3,4,3,Malware,Spyware
3a5df5e2ea2cab2de87bbaa4c3e20684daf50245cf6738c5124fcb848a4b2827_spyware,22,1346,22,6,131,0,131,18,13.763358778625957,2,0.9236641221374046,157,18,13.159235668789808,154,0.0,174,43,5,7,130,14,33,24,114,13,26,21,0,0,0,0,10,3,4,3,Malware,Spyware
