hash,filename,yara,vmray_classification,Risk
"E:\Run_1\trojan\0a83754a6e03d367af7e4a181df496b5d643d69915a4702e91c5e5b2c4918859_trojan.zip",blysvfk.exe,false,-,Malicious
"E:\Run_1\trojan\0bd000296a27166aea20df164d56ec41d5a7283503c2e4f0f4fa057d3a12bac7_trojan.zip",azdduirtbl.exe,false,BackdoorInjectorSpyware,Malicious
"E:\Run_1\trojan\0d58d4c64dd86c34cbf59c528f5b4c9120dc94431dc1019449b6b25dfd02721f_trojan.zip",tewjnmmoplh.exe,false,-,Malicious
"E:\Run_1\trojan\0db4eb9bd85f7037e5949622f3bd73d2d62b21212b790c4116264f9ea92176e0_trojan.zip",grtnipsie.exe,false,BackdoorInjectorSpyware,Malicious
"E:\Run_1\trojan\0e9eb65eb25395a34ae9181b5e9c25f0fb0d0a0691edf2601a51b8e5611901a4_trojan.zip",udwaap.exe,false,BackdoorInjectorSpyware,Malicious
"E:\Run_1\trojan\1d7f315437c9b0adec98ad55a604dcea31ae25350591a95f6330e127b6c4edcd_trojan.zip",vmnfofvbxf.exe,false,-,Malicious
"E:\Run_1\trojan\1dfc6a1b4b1551ce51faf98bcf51e656c7df051cd466c141b5764baacffbef01_trojan.zip",yzqat.exe,false,BackdoorInjectorSpyware,Malicious
"E:\Run_1\trojan\1f2679c6694f4a721a5daece784bd0d73194a99edf89eaa72e1c73ac00778c52_trojan.zip",goflzzctyta.exe,false,BackdoorInjectorSpyware,Malicious
"E:\Run_1\trojan\2b832ec67aa044d7ddea7f2a58687ea3b19f49979414987d918a2ac7ab57e4b3_trojan.zip",kauzxk.exe,false,BackdoorInjectorSpyware,Malicious
"E:\Run_1\trojan\2bb90142a22a52f8f31ed59a4a4202f1383a7aa0fe183de64f7e702e08dc97d1_trojan.zip",edvhndbprk.exe,false,-,Malicious
"E:\Run_1\trojan\2c1487a61bbcd807564589279cd4314b866c6444198affa0a3d5432b88dcceb8_trojan.zip",hbtbihouw.exe,false,-,Malicious
"E:\Run_1\trojan\2dc55319850ccba833517729306bbf99d6313f5deef29c39eff9a6e8925a2dd9_trojan.zip",uxqozv.exe,false,-,Malicious
"E:\Run_1\trojan\2e7c584b53d31556f9f68c8786d54983a0eb649780084a5d1587188c348ee607_trojan.zip",hpzotsq.exe,false,BackdoorInjectorSpyware,Malicious
"E:\Run_1\trojan\3c6cf2b0d06d011df358561907b3070b645ba0cbc218df1a1d0ecc6770374cc5_trojan.zip",qxuorwing.exe,false,-,Malicious
"E:\Run_1\trojan\3c37debc9a1802eacd6d1d1c67e96c7919766348958b20b0b804ecc028bfef15_trojan.zip",chxbw.exe,false,BackdoorInjectorSpyware,Malicious
"E:\Run_1\trojan\3ee35b59b86122376980ea118db6ee299be9c4a746b14cc5b45743cb41b9dfc7_trojan.zip",xxvi.exe,false,BackdoorInjectorSpyware,Malicious
"E:\Run_1\trojan\3fdb31c6da60d4125b0a5b5995edf89c4a8146b1908f7a55b0f01f36e7679ccc_trojan.zip",fpb.exe,false,-,Malicious
"E:\Run_1\trojan\4ba80ac7174ff768ccb119a36b6538484ef4b1b7aad842650248b619525e302d_trojan.zip",unifc.exe,false,-,Malicious
"E:\Run_1\trojan\4bb49f7056cbb508109d3e1ee7c85294280536bafb08f496f25eb6363fda577e_trojan.zip",uqugyfciope.exe,false,BackdoorInjectorSpyware,Malicious
"E:\Run_1\trojan\4ed3e8ee2c9fa0a8e8cd07fbe0c5c145d743dbd6cc2cd182c04301cd0d2fbfbd_trojan.zip",cksb.exe,false,-,Malicious
"E:\Run_1\spyware\0d7f9a2daa3ce1ff75b726e758d99d622ac6e4c77ec216fc90853c356734dc76_spyware.zip",gccokkhlj.exe,false,BackdoorInjectorSpyware,Malicious
"E:\Run_1\spyware\0f335a51a72dacc839b2b03b71c9072dec7f21d354b981e192942cc205a2f29c_spyware.zip",dmstie.exe,false,BackdoorInjectorSpyware,Malicious
"E:\Run_1\spyware\1a7895c50ce00d72188e1ad764fc8ddc32d7f2e437e2edd10e9229807118e10f_spyware.zip",uwjeolwln.exe,false,BackdoorInjectorSpyware,Malicious
"E:\Run_1\spyware\1b5c3855bbbb82ddc6e11cac7f4c091b17067de3888363ae2cbb8e7052f46a54_spyware.zip",boqvwwyv.exe,true,Spyware,Malicious
"E:\Run_1\spyware\1b87a51faddc166e36b1018f1fa7c02f6e35f9eccfef5e5a7def342afd1e36aa_spyware.zip",yqilkrpgej.exe,false,BackdoorInjectorSpyware,Malicious
"E:\Run_1\spyware\1d94c9dc4102a5fd0a7efa7726aceecfcb4917ffd863ca6c379a3a6ad30bb291_spyware.zip",yzgeqx.exe,false,BackdoorInjectorSpyware,Malicious
"E:\Run_1\spyware\02ad0044106143934cf53ce9a126c8cea29233f563aa53ca7584e30cb666a87a_spyware.zip",luodde.exe,true,Spyware,Malicious
"E:\Run_1\spyware\2d5823e47a76ecf8eece6cefd85885098687ae9f0cd4c51729920df84f4fdb56_spyware.zip",fuwnt.exe,true,Spyware,Malicious
